Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,"55,828",17.73,0.06882
2,IEEE Transactions on Neural Networks and Learning Systems,"27,444",11.683,0.04022
3,Information Fusion,"4,746",10.716,0.00836
4,IEEE Transactions on Cybernetics,"13,561",10.387,0.04607
5,MEDICAL IMAGE ANALYSIS,"7,694",8.88,0.01337
6,IEEE TRANSACTIONS ON FUZZY SYSTEMS,"15,574",8.759,0.01844
7,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,"12,841",8.508,0.00869
8,INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,"4,310",7.229,0.0032
9,IEEE TRANSACTIONS ON IMAGE PROCESSING,"40,201",6.79,0.06145
10,International Journal of Neural Systems,"2,035",6.4,0.00305
11,Swarm and Evolutionary Computation,"2,429",6.33,0.00325
12,IEEE Transactions on Affective Computing,"1,943",6.288,0.00297
13,INTERNATIONAL JOURNAL OF COMPUTER VISION,"17,707",6.071,0.02797
14,PATTERN RECOGNITION,"27,711",5.898,0.03032
15,IEEE Computational Intelligence Magazine,"1,333",5.857,0.00185
16,NEURAL NETWORKS,"13,063",5.785,0.01606
17,KNOWLEDGE-BASED SYSTEMS,"12,347",5.101,0.02225
18,ARTIFICIAL INTELLIGENCE REVIEW,"2,627",5.095,0.00329
19,INTEGRATED COMPUTER-AIDED ENGINEERING,691,4.904,0.00108
20,APPLIED SOFT COMPUTING,"19,765",4.873,0.02942
21,NEURAL COMPUTING & APPLICATIONS,"8,160",4.664,0.01233
22,ARTIFICIAL INTELLIGENCE,"9,362",4.483,0.00747
23,IEEE INTELLIGENT SYSTEMS,"3,053",4.464,0.00362
24,EXPERT SYSTEMS WITH APPLICATIONS,"39,173",4.292,0.03628
25,Cognitive Computation,"1,578",4.287,0.00223
26,Fuzzy Optimization and Decision Making,"1,059",4.128,0.00133
27,JOURNAL OF MACHINE LEARNING RESEARCH,"25,684",4.091,0.03515
28,NEUROCOMPUTING,"30,950",4.072,0.05847
29,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,"12,124",3.857,0.01865
30,DECISION SUPPORT SYSTEMS,"9,734",3.847,0.0098
31,International Journal of Machine Learning and Cybernetics,"1,998",3.844,0.00323
32,ADVANCED ENGINEERING INFORMATICS,"2,525",3.772,0.00273
33,AUTONOMOUS ROBOTS,"3,460",3.634,0.00406
34,ARTIFICIAL INTELLIGENCE IN MEDICINE,"2,462",3.574,0.00296
35,JOURNAL OF INTELLIGENT MANUFACTURING,"3,783",3.535,0.00374
36,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,"6,789",3.526,0.00966
37,Semantic Web,798,3.524,0.00191
38,EVOLUTIONARY COMPUTATION,"2,900",3.469,0.00206
39,International Journal of Bio-Inspired Computation,968,3.395,0.00108
40,IEEE Transactions on Human-Machine Systems,"1,269",3.332,0.00363
41,International Journal of Fuzzy Systems,"1,809",3.085,0.00197
42,Frontiers in Neurorobotics,609,3,0.00137
43,MECHATRONICS,"4,499",2.978,0.00537
44,Big Data Research,381,2.952,0.00072
45,ROBOTICS AND AUTONOMOUS SYSTEMS,"6,182",2.928,0.00814
46,APPLIED INTELLIGENCE,"2,667",2.882,0.00364
47,DATA MINING AND KNOWLEDGE DISCOVERY,"3,506",2.879,0.00353
48,INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,"1,130",2.862,0.00143
49,ACM Transactions on Intelligent Systems and Technology,"4,028",2.861,0.00494
50,PATTERN RECOGNITION LETTERS,"12,661",2.81,0.01308
51,MACHINE LEARNING,"17,358",2.809,0.0053
52,CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,"9,266",2.786,0.00816
53,SOFT COMPUTING,"6,483",2.784,0.00914
54,IEEE Transactions on Cognitive and Developmental Systems,221,2.755,0.0003
55,IMAGE AND VISION COMPUTING,"5,870",2.747,0.00694
56,Memetic Computing,469,2.674,0.00053
57,ACM Transactions on Autonomous and Adaptive Systems,517,2.66,0.00084
58,COMPUTER VISION AND IMAGE UNDERSTANDING,"6,450",2.645,0.00933
59,NEURAL PROCESSING LETTERS,"2,140",2.591,0.0025
60,Journal of Real-Time Image Processing,"1,029",2.588,0.00174
61,Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,858,2.541,0.00155
62,SIAM Journal on Imaging Sciences,"3,806",2.514,0.01122
63,Journal of Web Semantics,"1,162",2.429,0.00143
64,KNOWLEDGE AND INFORMATION SYSTEMS,"3,006",2.397,0.00542
65,Egyptian Informatics Journal,406,2.306,0.00053
66,NEURAL COMPUTATION,"14,077",2.261,0.00625
67,Swarm Intelligence,595,2.208,0.00062
68,International Journal of Computational Intelligence Systems,"1,321",2.153,0.00206
69,COMPUTATIONAL LINGUISTICS,"2,138",2.13,0.00125
70,JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE,674,2.111,0.00107
71,IET Biometrics,475,2.092,0.00122
72,JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,"3,443",2.02,0.00525
72,Journal on Multimodal User Interfaces,306,2.02,0.00047
74,IET Image Processing,"1,636",2.004,0.00233
75,INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,"3,587",1.982,0.00446
76,Journal of Ambient Intelligence and Humanized Computing,861,1.91,0.00089
77,COMPUTER SPEECH AND LANGUAGE,"1,437",1.857,0.00208
78,JOURNAL OF CHEMOMETRICS,"3,900",1.847,0.0022
79,International Journal on Semantic Web and Information Systems,311,1.833,0.00033
80,JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,"4,004",1.82,0.00453
81,MACHINE VISION AND APPLICATIONS,"2,038",1.788,0.0035
82,IET Computer Vision,883,1.648,0.00134
83,JOURNAL OF INTELLIGENT & FUZZY SYSTEMS,"5,527",1.637,0.00745
84,ARTIFICIAL LIFE,869,1.608,0.00049
85,JOURNAL OF MATHEMATICAL IMAGING AND VISION,"2,286",1.603,0.00481
86,Biologically Inspired Cognitive Architectures,256,1.597,0.00036
87,JOURNAL OF INTELLIGENT INFORMATION SYSTEMS,883,1.589,0.00113
88,DATA & KNOWLEDGE ENGINEERING,"1,606",1.583,0.001
89,EXPERT SYSTEMS,677,1.505,0.00078
90,International Journal of Applied Mathematics and Computer Science,"1,205",1.504,0.00104
91,AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,877,1.419,0.00172
92,PATTERN ANALYSIS AND APPLICATIONS,"1,065",1.41,0.00129
93,MINDS AND MACHINES,449,1.4,0.00049
94,JOURNAL OF HEURISTICS,"1,187",1.392,0.00102
95,Cognitive Systems Research,690,1.384,0.00064
96,ADAPTIVE BEHAVIOR,654,1.362,0.00058
97,Genetic Programming and Evolvable Machines,340,1.333,0.00047
98,Natural Computing,778,1.33,0.00113
99,AI MAGAZINE,"1,419",1.316,0.00119
100,INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS,"1,882",1.286,0.00102
101,Journal of Ambient Intelligence and Smart Environments,306,1.186,0.00039
102,JOURNAL OF AUTOMATED REASONING,584,1.172,0.00097
103,Natural Language Engineering,443,1.13,0.00045
104,INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,"1,429",1.11,0.00158
105,CONSTRAINTS,267,1.106,0.00049
106,IEEE Transactions on Computational Intelligence and AI in Games,565,1.056,0.00048
107,ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,809,1.011,0.0013
108,NETWORK-COMPUTATION IN NEURAL SYSTEMS,755,1,0.00011
109,APPLIED ARTIFICIAL INTELLIGENCE,698,0.988,0.00044
110,Neural Network World,326,0.957,0.00024
111,AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,630,0.894,0.00043
112,International Journal on Artificial Intelligence Tools,475,0.849,0.00052
113,International Journal on Document Analysis and Recognition,606,0.846,0.00052
114,KNOWLEDGE ENGINEERING REVIEW,891,0.814,0.00067
115,INTELLIGENT AUTOMATION AND SOFT COMPUTING,471,0.79,0.00036
116,ACM Transactions on Asian and Low-Resource Language Information Processing,65,0.788,0.00012
117,COMPUTATIONAL INTELLIGENCE,709,0.776,0.00084
118,AI COMMUNICATIONS,416,0.765,0.00038
119,Applied Ontology,148,0.75,0.00012
120,Statistical Analysis and Data Mining,393,0.741,0.00101
121,Information Technology and Control,278,0.707,0.00026
122,CONNECTION SCIENCE,397,0.673,0.0003
123,Advances in Electrical and Computer Engineering,393,0.65,0.00039
124,INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,425,0.644,0.00046
125,Malaysian Journal of Computer Science,114,0.625,0.00009
125,Turkish Journal of Electrical Engineering and Computer Sciences,"1,163",0.625,0.00138
127,JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING,462,0.613,0.00032
128,Intelligent Data Analysis,964,0.612,0.00086
129,JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,450,0.513,0.00048
130,Journal of Logic Language and Information,245,0.5,0.00039
131,COMPUTING AND INFORMATICS,362,0.421,0.00034
132,International Arab Journal of Information Technology,674,0.41,0.00043
133,IEEE Transactions on Games,22,Not Available,0
